[NEURONES]
id,nom,V_rest,tau,biais,refractaire_ms,eta,oubli,est_entree,x,y,col_entree,col_sortie
0,a0,0,10,0,2,0.01,0.001,1,-273,-289,-1,-1
1,a1,0,10,0,2,0.01,0.001,1,-273,-214,-1,-1
2,a2,0,10,0,2,0.01,0.001,1,-273,-141,-1,-1
3,a3,0,10,0,2,0.01,0.001,1,-272,-67,-1,-1
4,b0,0,10,0,2,0.01,0.001,1,-270,6,-1,-1
5,b1,0,10,0,2,0.01,0.001,1,-272,79,-1,-1
6,b2,0,10,0,2,0.01,0.001,1,-274,152,-1,-1
7,b3,0,10,0,2,0.01,0.001,1,-278,225,-1,-1
8,s0,0,10,0,2,0.01,0.001,1,-275,300,-1,-1
9,s1,0,10,0,2,0.01,0.001,1,-271,374,-1,-1
10,s2,0,10,0,2,0.01,0.001,1,-273,448,-1,-1
11,s3,0,10,0,2,0.01,0.001,1,-272,521,-1,-1
12,m,0,10,0,2,0.01,0.001,1,-170,543,-1,-1
13,cn,0,10,0,2,0.01,0.001,1,-83,552,-1,-1
14,h1_0,0,10,0.2,2,0.02,0.001,0,262,-290,-1,-1
15,h1_1,0,10,0.2,2,0.02,0.001,0,211,-235,-1,-1
16,h1_2,0,10,0.2,2,0.02,0.001,0,158,-182,-1,-1
17,h1_3,0,10,0.2,2,0.02,0.001,0,106,-129,-1,-1
18,h1_4,0,10,0.2,2,0.02,0.001,0,53,-76,-1,-1
19,h1_5,0,10,0.2,2,0.02,0.001,0,3,-18,-1,-1
20,h1_6,0,10,0.2,2,0.02,0.001,0,-50,36,-1,-1
21,h1_7,0,10,0.2,2,0.02,0.001,0,-100,92,-1,-1
22,h1_8,0,10,0.2,2,0.02,0.001,0,265,-181,-1,-1
23,h1_9,0,10,0.2,2,0.02,0.001,0,214,-127,-1,-1
24,h1_10,0,10,0.2,2,0.02,0.001,0,161,-72,-1,-1
25,h1_11,0,10,0.2,2,0.02,0.001,0,105,-18,-1,-1
26,h1_12,0,10,0.2,2,0.02,0.001,0,55,39,-1,-1
27,h1_13,0,10,0.2,2,0.02,0.001,0,5,90,-1,-1
28,h1_14,0,10,0.2,2,0.02,0.001,0,-47,144,-1,-1
29,h1_15,0,10,0.2,2,0.02,0.001,0,-103,196,-1,-1
30,h1_16,0,10,0.2,2,0.02,0.001,0,270,-74,-1,-1
31,h1_17,0,10,0.2,2,0.02,0.001,0,219,-18,-1,-1
32,h1_18,0,10,0.2,2,0.02,0.001,0,161,37,-1,-1
33,h1_19,0,10,0.2,2,0.02,0.001,0,110,92,-1,-1
34,h1_20,0,10,0.2,2,0.02,0.001,0,58,148,-1,-1
35,h1_21,0,10,0.2,2,0.02,0.001,0,5,201,-1,-1
36,h1_22,0,10,0.2,2,0.02,0.001,0,-49,254,-1,-1
37,h1_23,0,10,0.2,2,0.02,0.001,0,-105,313,-1,-1
38,h2_0,0,10,0.2,2,0.02,0.001,0,407,-260,-1,-1
39,h2_1,0,10,0.2,2,0.02,0.001,0,407,-200,-1,-1
40,h2_2,0,10,0.2,2,0.02,0.001,0,408,-141,-1,-1
41,h2_3,0,10,0.2,2,0.02,0.001,0,406,-82,-1,-1
42,h2_4,0,10,0.2,2,0.02,0.001,0,404,-22,-1,-1
43,h2_5,0,10,0.2,2,0.02,0.001,0,406,38,-1,-1
44,h2_6,0,10,0.2,2,0.02,0.001,0,404,99,-1,-1
45,h2_7,0,10,0.2,2,0.02,0.001,0,405,159,-1,-1
46,h2_8,0,10,0.2,2,0.02,0.001,0,404,219,-1,-1
47,h2_9,0,10,0.2,2,0.02,0.001,0,403,280,-1,-1
48,h2_10,0,10,0.2,2,0.02,0.001,0,403,342,-1,-1
49,h2_11,0,10,0.2,2,0.02,0.001,0,401,401,-1,-1
50,f0,0,10,0,2,0.02,0.001,0,660,-224,-1,-1
51,f1,0,10,0,2,0.02,0.001,0,661,-146,-1,-1
52,f2,0,10,0,2,0.02,0.001,0,661,-68,-1,-1
53,f3,0,10,0,2,0.02,0.001,0,659,10,-1,-1
54,a_eq_b,0,10,0,2,0.02,0.001,0,657,89,-1,-1
[SYNAPSES]
id,source,target,poids,type
0,0,14,0.3,AXO_DENDRITIQUE
1,0,15,0.3,AXO_DENDRITIQUE
2,0,16,0.3,AXO_DENDRITIQUE
3,0,17,0.3,AXO_DENDRITIQUE
4,0,18,0.3,AXO_DENDRITIQUE
5,0,19,0.3,AXO_DENDRITIQUE
6,0,20,0.3,AXO_DENDRITIQUE
7,0,21,0.3,AXO_DENDRITIQUE
8,0,22,0.3,AXO_DENDRITIQUE
9,0,23,0.3,AXO_DENDRITIQUE
10,0,24,0.3,AXO_DENDRITIQUE
11,0,25,0.3,AXO_DENDRITIQUE
12,0,26,0.3,AXO_DENDRITIQUE
13,0,27,0.3,AXO_DENDRITIQUE
14,0,28,0.3,AXO_DENDRITIQUE
15,0,29,0.3,AXO_DENDRITIQUE
16,0,30,0.3,AXO_DENDRITIQUE
17,0,31,0.3,AXO_DENDRITIQUE
18,0,32,0.3,AXO_DENDRITIQUE
19,0,33,0.3,AXO_DENDRITIQUE
20,0,34,0.3,AXO_DENDRITIQUE
21,0,35,0.3,AXO_DENDRITIQUE
22,0,36,0.3,AXO_DENDRITIQUE
23,0,37,0.3,AXO_DENDRITIQUE
24,1,14,0.3,AXO_DENDRITIQUE
25,1,15,0.3,AXO_DENDRITIQUE
26,1,16,0.3,AXO_DENDRITIQUE
27,1,17,0.3,AXO_DENDRITIQUE
28,1,18,0.3,AXO_DENDRITIQUE
29,1,19,0.3,AXO_DENDRITIQUE
30,1,20,0.3,AXO_DENDRITIQUE
31,1,21,0.3,AXO_DENDRITIQUE
32,1,22,0.3,AXO_DENDRITIQUE
33,1,23,0.3,AXO_DENDRITIQUE
34,1,24,0.3,AXO_DENDRITIQUE
35,1,25,0.3,AXO_DENDRITIQUE
36,1,26,0.3,AXO_DENDRITIQUE
37,1,27,0.3,AXO_DENDRITIQUE
38,1,28,0.3,AXO_DENDRITIQUE
39,1,29,0.3,AXO_DENDRITIQUE
40,1,30,0.3,AXO_DENDRITIQUE
41,1,31,0.3,AXO_DENDRITIQUE
42,1,32,0.3,AXO_DENDRITIQUE
43,1,33,0.3,AXO_DENDRITIQUE
44,1,34,0.3,AXO_DENDRITIQUE
45,1,35,0.3,AXO_DENDRITIQUE
46,1,36,0.3,AXO_DENDRITIQUE
47,1,37,0.3,AXO_DENDRITIQUE
48,2,14,0.3,AXO_DENDRITIQUE
49,2,15,0.3,AXO_DENDRITIQUE
50,2,16,0.3,AXO_DENDRITIQUE
51,2,17,0.3,AXO_DENDRITIQUE
52,2,18,0.3,AXO_DENDRITIQUE
53,2,19,0.3,AXO_DENDRITIQUE
54,2,20,0.3,AXO_DENDRITIQUE
55,2,21,0.3,AXO_DENDRITIQUE
56,2,22,0.3,AXO_DENDRITIQUE
57,2,23,0.3,AXO_DENDRITIQUE
58,2,24,0.3,AXO_DENDRITIQUE
59,2,25,0.3,AXO_DENDRITIQUE
60,2,26,0.3,AXO_DENDRITIQUE
61,2,27,0.3,AXO_DENDRITIQUE
62,2,28,0.3,AXO_DENDRITIQUE
63,2,29,0.3,AXO_DENDRITIQUE
64,2,30,0.3,AXO_DENDRITIQUE
65,2,31,0.3,AXO_DENDRITIQUE
66,2,32,0.3,AXO_DENDRITIQUE
67,2,33,0.3,AXO_DENDRITIQUE
68,2,34,0.3,AXO_DENDRITIQUE
69,2,35,0.3,AXO_DENDRITIQUE
70,2,36,0.3,AXO_DENDRITIQUE
71,2,37,0.3,AXO_DENDRITIQUE
72,3,14,0.3,AXO_DENDRITIQUE
73,3,15,0.3,AXO_DENDRITIQUE
74,3,16,0.3,AXO_DENDRITIQUE
75,3,17,0.3,AXO_DENDRITIQUE
76,3,18,0.3,AXO_DENDRITIQUE
77,3,19,0.3,AXO_DENDRITIQUE
78,3,20,0.3,AXO_DENDRITIQUE
79,3,21,0.3,AXO_DENDRITIQUE
80,3,22,0.3,AXO_DENDRITIQUE
81,3,23,0.3,AXO_DENDRITIQUE
82,3,24,0.3,AXO_DENDRITIQUE
83,3,25,0.3,AXO_DENDRITIQUE
84,3,26,0.3,AXO_DENDRITIQUE
85,3,27,0.3,AXO_DENDRITIQUE
86,3,28,0.3,AXO_DENDRITIQUE
87,3,29,0.3,AXO_DENDRITIQUE
88,3,30,0.3,AXO_DENDRITIQUE
89,3,31,0.3,AXO_DENDRITIQUE
90,3,32,0.3,AXO_DENDRITIQUE
91,3,33,0.3,AXO_DENDRITIQUE
92,3,34,0.3,AXO_DENDRITIQUE
93,3,35,0.3,AXO_DENDRITIQUE
94,3,36,0.3,AXO_DENDRITIQUE
95,3,37,0.3,AXO_DENDRITIQUE
96,4,14,0.3,AXO_DENDRITIQUE
97,4,15,0.3,AXO_DENDRITIQUE
98,4,16,0.3,AXO_DENDRITIQUE
99,4,17,0.3,AXO_DENDRITIQUE
100,4,18,0.3,AXO_DENDRITIQUE
101,4,19,0.3,AXO_DENDRITIQUE
102,4,20,0.3,AXO_DENDRITIQUE
103,4,21,0.3,AXO_DENDRITIQUE
104,4,22,0.3,AXO_DENDRITIQUE
105,4,23,0.3,AXO_DENDRITIQUE
106,4,24,0.3,AXO_DENDRITIQUE
107,4,25,0.3,AXO_DENDRITIQUE
108,4,26,0.3,AXO_DENDRITIQUE
109,4,27,0.3,AXO_DENDRITIQUE
110,4,28,0.3,AXO_DENDRITIQUE
111,4,29,0.3,AXO_DENDRITIQUE
112,4,30,0.3,AXO_DENDRITIQUE
113,4,31,0.3,AXO_DENDRITIQUE
114,4,32,0.3,AXO_DENDRITIQUE
115,4,33,0.3,AXO_DENDRITIQUE
